Make,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),engine_class,mileage,Age,km_year,qcut_km_year,mileage_class,is_retro,is_japan,is_german,is_cargo_passenger,is_off_road,is_mpv,is_open_top
13,2002,11,275100,2000.0,4,,5900.0,1,2,20,13755.0,1,2,0,1,0,1,0,0,0
2,2015,10,180236,2000.0,0,,21500.0,1,2,7,25748.0,2,2,0,0,1,0,0,0,0
13,2010,3,183000,2200.0,0,,12999.0,1,2,12,15250.0,1,2,0,1,0,1,1,0,0
27,2011,4,195000,1500.0,0,,5250.0,3,2,11,17727.0,2,2,0,1,0,0,0,0,0
41,1993,11,311254,2000.0,3,,29000.0,1,2,29,10733.0,0,2,0,0,1,1,0,0,0
28,2010,4,190000,1300.0,0,,6500.0,3,2,12,15833.0,1,2,0,0,1,0,0,0,0
34,2016,11,116000,1598.0,4,,10300.0,3,1,6,19333.0,2,1,0,0,0,1,0,0,0
41,2006,6,250000,2000.0,0,,6900.0,1,2,16,15625.0,1,2,0,0,1,1,0,1,0
27,2015,3,149000,1200.0,4,,12500.0,3,1,7,21286.0,2,1,0,1,0,1,1,0,0
34,2016,10,170000,2000.0,0,,17490.0,1,2,6,28333.0,2,2,0,0,0,0,0,0,0
39,2001,9,250000,4700.0,3,,9990.0,0,2,21,11905.0,1,2,0,1,0,1,0,0,0
39,2006,11,256000,1400.0,0,,5490.0,3,2,16,16000.0,1,2,0,1,0,1,0,0,0
22,2002,9,255000,2000.0,4,,3990.0,1,2,20,12750.0,1,2,0,1,0,1,0,0,0
3,2011,4,190000,1400.0,5,,9150.0,3,2,11,17273.0,2,2,0,0,0,0,0,0,0
23,2019,3,24000,3000.0,4,,51000.0,1,0,3,8000.0,0,0,0,0,1,1,1,0,0
41,2002,11,270000,1800.0,4,,2550.0,1,2,20,13500.0,1,2,0,0,1,1,0,0,0
41,2010,9,235000,3000.0,0,,20950.0,1,2,12,19583.0,2,2,0,0,1,1,0,0,0
2,2000,10,254604,2500.0,4,,4500.0,1,2,22,11573.0,0,2,0,0,1,0,0,0,0
31,2009,11,165000,1500.0,0,,4999.0,3,2,13,12692.0,1,2,0,0,0,1,0,0,0
39,2017,3,115000,1800.0,2,,17999.0,1,1,5,23000.0,2,1,0,1,0,1,1,0,0
2,1998,10,350000,3500.0,4,,3990.0,0,2,24,14583.0,1,2,0,0,1,0,0,0,0
23,2012,10,150000,2500.0,0,,14490.0,1,1,10,15000.0,1,1,0,0,1,0,0,0,0
1,2018,4,31091,3000.0,4,,35500.0,1,0,4,7773.0,0,0,0,0,1,0,0,0,0
31,2006,4,280000,1461.0,0,,4299.0,3,2,16,17500.0,2,2,0,0,0,0,0,0,0
5,2012,4,145000,1400.0,0,,6899.0,3,1,10,14500.0,1,1,0,0,0,0,0,0,0
1,1997,10,29800,2400.0,3,,2750.0,1,0,25,1192.0,0,2,0,0,1,0,0,0,0
11,2013,10,178000,2000.0,2,,9290.0,1,2,9,19778.0,2,2,0,0,0,0,0,0,0
39,2014,10,140000,800.0,5,,11200.0,2,1,8,17500.0,2,1,0,1,0,0,0,0,0
41,1993,10,300000,1800.0,4,,1700.0,1,2,29,10345.0,0,2,0,0,1,0,0,0,0
31,2017,3,129000,1500.0,0,,10990.0,3,1,5,25800.0,2,1,0,0,0,1,1,0,0
20,2012,4,193000,1800.0,2,,10950.0,1,2,10,19300.0,2,2,0,1,0,0,0,0,0
42,2010,9,202000,2400.0,0,,14750.0,1,2,12,16833.0,1,2,0,0,0,1,0,0,0
6,2013,6,209000,1500.0,0,,5750.0,3,2,9,23222.0,2,2,0,0,0,1,0,1,0
14,2010,4,145000,1400.0,4,,4750.0,3,1,12,12083.0,1,2,0,1,0,0,0,0,0
20,2012,4,194000,1800.0,2,,9999.0,1,2,10,19400.0,2,2,0,1,0,0,0,0,0
42,2008,9,249000,2400.0,0,,11500.0,1,2,14,17786.0,2,2,0,0,0,1,0,0,0
14,2008,4,142000,1100.0,4,,3499.0,2,1,14,10143.0,0,2,0,1,0,0,0,0,0
23,2005,4,260000,1500.0,3,,4750.0,3,2,17,15294.0,1,2,0,0,1,0,0,0,0
23,2002,2,240000,2300.0,4,,3499.0,1,2,20,12000.0,1,2,0,0,1,0,0,0,0
16,2012,10,120000,2200.0,0,,15999.0,1,1,10,12000.0,1,1,0,0,0,0,0,0,0
